success type,attribution_method,SearchMatchType,SearchCategory,RecordType,CampaignMap,ActivitySubType,CampaignMapSearch,Site,CampaignType,Channel,contribution
testd00, attributed,  ,  , Impression, Formel 1 2016, ,  , IP Deutschland, Brand, Previous Site Activity, 1.91665465108
build004, attributed,  ,  , Impression, UNKNOWN, ,  , Autoscout24.de, UNKNOWN, Previous Site Activity, 1.61111111111
build0, last_event,  ,  , Impression, Retail January, ,  , Autoscout24.de, Retail, Previous Site Activity, 4144.0
build0, last_event,  ,  , Impression, Fleet Allrad, ,  , EMC, Retail, Previous Site Activity, 75.0
testd00, attributed,  ,  , Impression, Retail February, ,  , Bauer Media, Retail, Previous Site Activity, 37.7524364475
build004, last_event, Exact, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 449.0
build0, attributed, Exact, Generic, Search Click,  , , 7Sitzer, DART Search : Google,  , Previous Site Activity, 120.397111452
build0, last_event, Broad, Generic, Search Click,  , , 7Sitzer, DART Search : Google,  , Previous Site Activity, 80.0
build0, attributed,  ,  , Display Click, Retail February, ,  , OMS DE, Retail, Previous Site Activity, 5.49238381381
build0, attributed, Broad, Generic, Search Click,  , , Auto, DART Search : Google,  , Previous Site Activity, 69.969913192
testd00, last_event,  ,  , Display Click, Kuga Sustain, ,  , Media Impact DE, Brand, Previous Site Activity, 13.0
testd00, last_event,  ,  , Impression, Kuga Sustain, ,  , OMS DE, Brand, Previous Site Activity, 4.0
testd00, attributed,  ,  , Display Click, Fleet Allrad, ,  , EMC, Retail, Previous Site Activity, 0.0956635090957
testd00, attributed,  ,  , Display Click, Retail January, ,  , Autoscout24.de, Retail, Previous Site Activity, 1.18333333333
testd00, attributed,  ,  , Impression, Retail January, ,  , autozeitung.de, Retail, Previous Site Activity, 53.620733952
testd00, attributed, Broad, Name Plate, Search Click,  , , Bmax, DART Search : Google,  , Previous Site Activity, 9.33633054441
build0, last_event,  ,  , Impression, UNKNOWN, ,  , Autobild.de, UNKNOWN, Previous Site Activity, 70.0
build0, last_event,  ,  , Display Click, Retail February, ,  , united internet media, Retail, Previous Site Activity, 119.0
testd00, last_event,  ,  , Impression, Fleet February, ,  , IQ Digital Network, Retail, Previous Site Activity, 3.0
build004, last_event, Exact, Name Plate, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 2.0
build004, attributed, Broad, Brand, Search Click,  , , Handler, DART Search : Google,  , Previous Site Activity, 1.0
build004, last_event,  ,  , Impression, Fleet Allrad, ,  , IQ Digital Network, Retail, Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Smax, ,  , Xaxis Mobile TV, Brand, Previous Site Activity, 239.737175543
build0, attributed, Broad, Commercial Vehicles, Search Click,  , , Courier, DART Search : Google,  , Previous Site Activity, 15.4520060102
testd00, last_event, UNKNOWN, UNKNOWN, Search Click,  , , UNKNOWN, DART Search : MSN,  , Previous Site Activity, 103.0
build0, last_event,  ,  , Display Click, Kuga Sustain, ,  , Media Impact DE, Brand, Previous Site Activity, 1468.0
build004, attributed, Broad, Name Plate, Search Click,  , , C-Max Launch, DART Search : Google,  , Previous Site Activity, 8.50016830329
build004, attributed, Broad, Generic, Search Click,  , , Familien, DART Search : Google,  , Previous Site Activity, 1.0
build0, last_event,  ,  , Display Click, Fleet February, ,  , Quarter Media, Retail, Previous Site Activity, 7.0
testd00, attributed, Exact, Brand, Search Click,  , , Drive Hacks, DART Search : Google,  , Previous Site Activity, 1.37638382148e-05
build004, last_event,  ,  , Display Click, Kuga Sustain, ,  , Quisma, Brand, Previous Site Activity, 5.0
testd00, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , aumago.com, Retail, Previous Site Activity, 2.0
build004, attributed,  ,  , Display Click, Fleet Allrad, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 0.5
build004, attributed,  ,  , Display Click, Retail January, ,  , Mobile.de, Retail, Previous Site Activity, 0.200071153317
build0, attributed,  ,  , Impression, Retail January, ,  , Autobild.de, Retail, Previous Site Activity, 4616.50502548
build0, last_event, Broad, Name Plate, Search Click,  , , Ecosport Sustain, DART Search : Google,  , Previous Site Activity, 1406.0
build0, attributed, Exact, Name Plate, Search Click,  , , Ecosport Sustain, DART Search : Google,  , Previous Site Activity, 5895.05507234
build0, last_event,  ,  , Impression, Smax, ,  , Interactive Media, Brand, Previous Site Activity, 1833.0
build004, last_event,  ,  , Impression, Retail February, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 9.0
build0, attributed,  ,  , Display Click, Retail January, ,  , XaxisDE, Retail, Previous Site Activity, 36.7245924146
build0, last_event,  ,  , Display Click, Retail February, ,  , Mobile.de, Retail, Previous Site Activity, 39.0
testd00, attributed,  ,  , Display Click, Smax, ,  , Interactive Media, Brand, Previous Site Activity, 9.76099008899
testd00, last_event,  ,  , Display Click, Retail Sales, ,  , Plista, Retail, Previous Site Activity, 10.0
build0, last_event,  ,  , Impression, UNKNOWN, ,  , Mair Dumont, UNKNOWN, Previous Site Activity, 1.0
build004, attributed,  ,  , Impression, Gewerbewochen Marz, ,  , Mobile.de, Retail, Previous Site Activity, 1.00000450331
build004, last_event,  ,  , Impression, Smax, ,  , yahoo.co.uk, Brand, Previous Site Activity, 1.0
build0, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , aumago.com, Retail, Previous Site Activity, 210.0
testd00, last_event,  ,  , Impression, Retail February, ,  , SevenOne Media, Retail, Previous Site Activity, 25.0
build0, last_event,  ,  , Display Click, Formel 1 2016, ,  , IP Deutschland, Brand, Previous Site Activity, 20.0
build0, attributed,  ,  , Display Click, Fleet February, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 6.97255273209
build004, attributed,  ,  , Display Click, Retail Marz, ,  , Light Reaction, Retail, Previous Site Activity, 2.25
build0, attributed,  ,  , Display Click, Fleet February, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 5.99256163693
build004, attributed,  ,  , Impression, Kuga Sustain, ,  , united internet media, Brand, Previous Site Activity, 1.14285714286
build0, last_event, Exact, Brand, Search Click,  , , Retail, DART Search : Google,  , Previous Site Activity, 1125.0
build0, last_event,  ,  , Display Click, Retail Sales, ,  , Plista, Retail, Previous Site Activity, 3151.0
build0, last_event,  ,  , Display Click, Retail February, ,  , Bauer Media, Retail, Previous Site Activity, 93.0
build004, attributed, Broad, Generic, Search Click,  , , Van, DART Search : Google,  , Previous Site Activity, 0.5
